WORD,CLUE,DIRECTION,ROW,COL
HERBZ,"Natural medication",across,44,16 
CLOUD,"Jezus's Ascension ICBM ",down,2,62 
TZULAO,"千里之行，始于足下",across,39,8
AFRICA,"Adam & Eve origin",down,36,58
SIRIUS,"Sun  by  XXV",down,27,54
UMIAK,"Aboriginal boat",down,23,32
MAZI,"Together",across,13,18   
PNEU,"Breath",down,10,2
CHESS,"Machashavah sport",across,4,14
QUAZER,"Brightest",across,35,52
RUAH,"God Holy Spirit",across,42,54  
LUCKY,"Odeic postmun 93",down,35,27
AMOR,"Christ love",across,38,0
MARS,"Neighbor  ",across,44,1
ZOE,"Iōannēs x iota",down,31,46
NEMO,"Yochanan Xiv vav(No 1)",across,33,21
551,"D – C / II",across,5,33 
ORIM,"David XXvii unus",down,3,5   
YADA,"Inner Muda’ut of Christ",down,39,4
EGG,"Repair muscle",down,20,48
RAAH,"Sum XXIII : uno",down,24,64
BEAM,"Yochanan 8 xii",down,41,8
MUSK,"Monocarpic herb",down,19,36
300,"D ÷ II + L",down,36,40
DAAT,"Awareness sphere",across,20,60
OSPF,"Routing standard",down,35,29
GIFT,"Ioannes gimel^ xvi",down,0,56
HOD,"Hebraious uno III",down,1,8
AJNA,"Markus 622 👁️",across,27,0
AZAR,"Tehillim 121 Bet",across,0,0
MIND,"Cosmic Consciousness",across,33,3 
SOZO,"Loukas XiX:iota",across,17,21
ZETA,"Greek letter",across,10,31
AGAPE,"Alpha Yochanan delta eta",down,25,2
QUM,"Christ in R 1111",across,21,23
TANNIN,"Chazon (I II) :3",down,39,30
TSAV,"Bible Christ command",down,31,51
EIRE,"Iōannēs xiv beta-zeta",down,8,41
CAD,"1 : Acer 🍀",down,20,33
2PAC,"Det Rodriguez",down,28,33
ARES,"War",across,34,7
MAC,"00:1A:2B:3C:4D:5E",down,24,10
PISTIS,"Ivrit Yod-Alef (theme)",down,40,32
NEON,"PV = nRT",across,6,0
777,"D (l*5) Xx 7",across,23,38
GYM,"Bench spot",down,29,21
ZEN,"座って、静かにして、",down,16,45
117,"2x.l & X also v + too",down,29,14
ODD,"2n + 1",across,28,60
ONE,"Yochanan 1030",down,31,11
GD,"Heavy not common",across,2,3
II,"Chet / delta",down,15,9 
