WORD,CLUE,DIRECTION,ROW,COL
MOTAW,"Silymfz-wisojuz-pulova-stupd",across,36,47
SEYFERT,"M77",across,42,57
KORBAN,"👁️z : 53 Gimel-Zayin 📖✝️",across,43,47
SENNA,"Colon detergent ☕",down,7,1
SATAN,"Tattooz masterminder L 22 III",across,1,0
ATEAM,"Comando-soljaz-Aproblem",across,34,44
UNITY,"Umuntu ngabantu",across,21,6
NIKE,"Theogony victory",down,14,33
BENI,"Mattityahu gimel XVii",across,17,5
BELL,"Acer 🍀 IP",down,12,18
EMET,"Yochanan XIv zayin",down,5,32
LIMN,"Lake",down,38,21
JSON,"Data structure",across,5,0
ICMB,"Nepreodolimyj Pozhar sila",down,29,49
SAME,"Evrim XIII chet",down,29,22
MARS,"Cosmic War",across,25,21
PECC,"Epistula ad Ro III xxiii",down,17,50
SHIN,"Divine Christ(Korean)",across,31,9
ASET,"Kemet thea",down,16,19
THOR,"Lightning myth",across,8,10
ERCH,"Apokálypsis xxii 7",down,23,19
YEBO,"Yes | ku Zuma",across,33,38
HODI,"HaIvrim 12 kaf-tet",down,2,64
CHET,"Viii letter",across,13,11
LAMB,"Yochanan uno XXIX",across,8,21
IACTO,"Gillui XX  (5*2)",down,8,64
GRU,"Разведка России",across,35,10
CHOK,"Tehillim 19 vii",across,12,21
WIND,"N₂+O₂+Ar+CO₂ ->",across,38,16
HOLY,"Alef Sh’mu’el II bet",across,12,39
OHM,"V/I",down,20,64
PYRO,"Iōánnou 2015 🏛️  🔥",across,2,13
DUKH,"Christ life breath ДУХ",down,15,3
INI,"What? / Ndebele",down,23,63
FIDE,"Liber Ieremiae 17 Vii",across,16,61
REUS,"Devil's criminal mindset 🕵️",across,14,47
MXM,"Tijuana cash",across,44,0
JOY,"Whitney H ✝️📖📖✝️ song",down,16,17
MEISO,"Christ inward focus(Japan)",across,32,28
XXI,"V^2+tan(π/4)−(X/2)",down,20,44
NAGA,"Touch",down,23,6
KARAV,"Sefer Shemot gimel 3",across,42,0
MOLO,"Hallo / Xhosa",across,0,33
H20,"LXX % of it",down,32,59
JAM,"M J song",down,30,34
BARA,"B'reshit aleph . aleph",down,14,59
KGB,"Putin bezopasnost",across,36,17
ZAR,"Imali ka Mandela",across,2,51
XIX,"Flight 2 ★ annumz",down,0,19
AWE,"Add XC:XI",across,30,22
LUX,"Ioannes viii 12",down,5,48
NDAA,"Hey / Venda",across,30,14
NOW,"כָּאן (kan)",across,40,6
PHOS,"Alpha J alpha epsilon",down,34,42
DAO,"The 中国 way",down,20,23
SKY,"#87CEEB",across,28,56
YODA,"Meditate must sinner",down,37,10
GOD,"Jezus's Father thou Art ?",down,21,14
OS,"Rare density ore",across,6,16
SGD,"Sea lion cash",down,29,45
FLY,"Levitate",down,32,55
JUT,"Overboard",across,0,48
HO,"H2​O(UV) = ​H⋅+⋅OH",across,13,8
AU,"CVII / $ g",across,20,58
$,"On Most transactions",down,43,20
O,"Eternity symbol",across,21,36
